vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Louvered Square,supply 1,2.41666666666667,2.46666666666667,0.15,0.45,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,2.46666666666667,2.66666666666667,0.4,0.45,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,2.66666666666667,2.71666666666667,0.15,0.45,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,2.46666666666667,2.66666666666667,0.15,0.2,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,2.46666666666667,2.51666666666667,0.25,0.35,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,2.46666666666667,2.66666666666667,0.35,0.4,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,2.61666666666667,2.66666666666667,0.25,0.35,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,2.46666666666667,2.66666666666667,0.2,0.25,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 1,0.0,0.0,4.55,4.6,0.15,0.45,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 2,0.0,0.0,4.6,4.8,0.4,0.45,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 3,0.0,0.0,4.8,4.85,0.15,0.45,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 4,0.0,0.0,4.6,4.8,0.15,0.2,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,supply 5,0.0,0.0,4.6,4.65,0.25,0.35,-0.1,"-0.0707106781186548,0.0"
Louvered Square,supply 6,0.0,0.0,4.6,4.8,0.35,0.4,-0.1,"4.32963728535968e-18,0.0707106781186548"
Louvered Square,supply 7,0.0,0.0,4.75,4.8,0.25,0.35,-0.1,"0.0707106781186548,0.0"
Louvered Square,supply 8,0.0,0.0,4.6,4.8,0.2,0.25,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Louvered Square,exhaust,2.41666666666667,2.71666666666667,5.0,5.0,2.55,2.85,0.1,
Louvered Square,exhaust,3.55,3.85,0.0,0.0,0.15,0.45,0.1,
Louvered Square,exhaust,3.55,3.85,3.08333333333333,3.38333333333333,3.0,3.0,0.1,
