vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Linear,supply,0.15,0.45,3.08333333333333,3.38333333333333,3.0,3.0,-0.1,
Linear,supply,3.55,3.85,1.61666666666667,1.91666666666667,3.0,3.0,-0.1,
Linear,supply,3.55,3.85,4.55,4.85,3.0,3.0,-0.1,
Linear,supply,4.0,4.0,3.08333333333333,3.38333333333333,0.15,0.45,-0.1,
Linear,exhaust,0.0,0.0,3.08333333333333,3.38333333333333,2.55,2.85,0.1,
Linear,exhaust,0.15,0.45,5.0,5.0,2.55,2.85,0.1,
