vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Swirl,supply 1,0.15,0.15,0.15,0.15,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.15,0.15,0.15,0.15,3.0,3.0,-0.1,"-0.05,0.05"
Swirl,supply 3,0.15,0.25,0.15,0.25,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.25,0.25,0.25,0.25,3.0,3.0,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.25,0.25,0.25,0.25,3.0,3.0,0.0,
Swirl,supply 6,0.25,0.35,0.25,0.35,3.0,3.0,-0.1,"0.05,0.05"
Swirl,supply 7,0.35,0.35,0.35,0.35,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.35,0.35,0.35,0.35,3.0,3.0,-0.1,"0.05,-0.05"
Swirl,supply 9,0.35,0.45,0.35,0.45,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,3.55,3.55,4.55,4.55,0.0,0.0,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,3.55,3.55,4.55,4.55,0.0,0.0,-0.1,"-0.05,0.05"
Swirl,supply 3,3.55,3.65,4.55,4.65,0.0,0.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,3.65,3.65,4.65,4.65,0.0,0.0,-0.1,"-0.05,-0.05"
Swirl,supply 5,3.65,3.65,4.65,4.65,0.0,0.0,0.0,
Swirl,supply 6,3.65,3.75,4.65,4.75,0.0,0.0,-0.1,"0.05,0.05"
Swirl,supply 7,3.75,3.75,4.75,4.75,0.0,0.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,3.75,3.75,4.75,4.75,0.0,0.0,-0.1,"0.05,-0.05"
Swirl,supply 9,3.75,3.85,4.75,4.85,0.0,0.0,-0.1,"0.0707106781186548,0.0"
Swirl,exhaust,3.55,3.85,0.15,0.45,3.0,3.0,0.1,
Swirl,exhaust,0.0,0.0,3.08333333333333,3.38333333333333,0.15,0.45,0.1,
