vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Swirl,supply 1,0.15,0.15,3.08333333333333,3.08333333333333,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.15,0.15,3.08333333333333,3.08333333333333,3.0,3.0,-0.1,"-0.05,0.05"
Swirl,supply 3,0.15,0.25,3.08333333333333,3.18333333333333,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.25,0.25,3.18333333333333,3.18333333333333,3.0,3.0,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.25,0.25,3.18333333333333,3.18333333333333,3.0,3.0,0.0,
Swirl,supply 6,0.25,0.35,3.18333333333333,3.28333333333333,3.0,3.0,-0.1,"0.05,0.05"
Swirl,supply 7,0.35,0.35,3.28333333333333,3.28333333333333,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.35,0.35,3.28333333333333,3.28333333333333,3.0,3.0,-0.1,"0.05,-0.05"
Swirl,supply 9,0.35,0.45,3.28333333333333,3.38333333333333,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,3.55,3.55,1.61666666666667,1.61666666666667,3.0,3.0,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,3.55,3.55,1.61666666666667,1.61666666666667,3.0,3.0,-0.1,"-0.05,0.05"
Swirl,supply 3,3.55,3.65,1.61666666666667,1.71666666666667,3.0,3.0,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,3.65,3.65,1.71666666666667,1.71666666666667,3.0,3.0,-0.1,"-0.05,-0.05"
Swirl,supply 5,3.65,3.65,1.71666666666667,1.71666666666667,3.0,3.0,0.0,
Swirl,supply 6,3.65,3.75,1.71666666666667,1.81666666666667,3.0,3.0,-0.1,"0.05,0.05"
Swirl,supply 7,3.75,3.75,1.81666666666667,1.81666666666667,3.0,3.0,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,3.75,3.75,1.81666666666667,1.81666666666667,3.0,3.0,-0.1,"0.05,-0.05"
Swirl,supply 9,3.75,3.85,1.81666666666667,1.91666666666667,3.0,3.0,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,4.0,4.0,3.08333333333333,3.18333333333333,0.15,0.15,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,4.0,4.0,3.18333333333333,3.28333333333333,0.15,0.15,-0.1,"-0.05,0.05"
Swirl,supply 3,4.0,4.0,3.28333333333333,3.08333333333333,0.15,0.25,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,4.0,4.0,3.08333333333333,3.18333333333333,0.25,0.25,-0.1,"-0.05,-0.05"
Swirl,supply 5,4.0,4.0,3.18333333333333,3.28333333333333,0.25,0.25,0.0,
Swirl,supply 6,4.0,4.0,3.28333333333333,3.08333333333333,0.25,0.35,-0.1,"0.05,0.05"
Swirl,supply 7,4.0,4.0,3.08333333333333,3.18333333333333,0.35,0.35,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,4.0,4.0,3.18333333333333,3.28333333333333,0.35,0.35,-0.1,"0.05,-0.05"
Swirl,supply 9,4.0,4.0,3.28333333333333,3.08333333333333,0.35,0.45,-0.1,"0.0707106781186548,0.0"
Swirl,exhaust,0.15,0.45,4.55,4.85,3.0,3.0,0.1,
Swirl,exhaust,3.55,3.85,0.149999999999999,0.449999999999999,3.0,3.0,0.1,
Swirl,exhaust,3.55,3.85,3.08333333333333,3.38333333333333,3.0,3.0,0.1,
Swirl,exhaust,4.0,4.0,4.55,4.85,0.15,0.45,0.1,
