vent_type,surf_id,XB1,XB2,XB3,XB4,XB5,XB6,VEL,VEL_T
Swirl,supply 1,0.0,0.0,4.55,4.65,2.55,2.55,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,0.0,0.0,4.65,4.75,2.55,2.55,-0.1,"-0.05,0.05"
Swirl,supply 3,0.0,0.0,4.75,4.55,2.55,2.65,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,0.0,0.0,4.55,4.65,2.65,2.65,-0.1,"-0.05,-0.05"
Swirl,supply 5,0.0,0.0,4.65,4.75,2.65,2.65,0.0,
Swirl,supply 6,0.0,0.0,4.75,4.55,2.65,2.75,-0.1,"0.05,0.05"
Swirl,supply 7,0.0,0.0,4.55,4.65,2.75,2.75,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,0.0,0.0,4.65,4.75,2.75,2.75,-0.1,"0.05,-0.05"
Swirl,supply 9,0.0,0.0,4.75,4.55,2.75,2.85,-0.1,"0.0707106781186548,0.0"
Swirl,supply 1,1.28333333333333,1.38333333333333,5.0,5.0,2.55,2.55,-0.1,"-0.0707106781186548,0.0"
Swirl,supply 2,1.38333333333333,1.48333333333333,5.0,5.0,2.55,2.55,-0.1,"-0.05,0.05"
Swirl,supply 3,1.48333333333333,1.28333333333333,5.0,5.0,2.55,2.65,-0.1,"4.32963728535968e-18,0.0707106781186548"
Swirl,supply 4,1.28333333333333,1.38333333333333,5.0,5.0,2.65,2.65,-0.1,"-0.05,-0.05"
Swirl,supply 5,1.38333333333333,1.48333333333333,5.0,5.0,2.65,2.65,0.0,
Swirl,supply 6,1.48333333333333,1.28333333333333,5.0,5.0,2.65,2.75,-0.1,"0.05,0.05"
Swirl,supply 7,1.28333333333333,1.38333333333333,5.0,5.0,2.75,2.75,-0.1,"4.32963728535968e-18,-0.0707106781186548"
Swirl,supply 8,1.38333333333333,1.48333333333333,5.0,5.0,2.75,2.75,-0.1,"0.05,-0.05"
Swirl,supply 9,1.48333333333333,1.28333333333333,5.0,5.0,2.75,2.85,-0.1,"0.0707106781186548,0.0"
Swirl,exhaust,0.0,0.0,3.08333333333333,3.38333333333333,2.55,2.85,0.1,
Swirl,exhaust,3.55,3.85,3.08333333333333,3.38333333333333,3.0,3.0,0.1,
Swirl,exhaust,1.28333333333333,1.58333333333333,4.55,4.85,3.0,3.0,0.1,
Swirl,exhaust,0.15,0.45,1.61666666666667,1.91666666666667,3.0,3.0,0.1,
